unidade;ano;mes;funcionarios
ADC;2022;1;480
ADC;2022;2;502
ADC;2022;3;506
ADC;2022;4;501
ADC;2022;5;503
ADC;2022;6;502
ADC;2022;7;518
ADC;2022;8;523
ADC;2022;9;513
ADC;2022;10;511
ADC;2022;11;507
ADC;2022;12;504
ADC;2023;1;512
ADC;2023;2;511
ADC;2023;3;517
ADC;2023;4;520
ADC;2023;5;525
ADC;2023;6;541
ADC;2023;7;544
ADC;2023;8;548
ADC;2023;9;558
ADC;2023;10;572
ADC;2023;11;570
ADC;2023;12;573
ADC;2024;1;558
ADC;2024;2;560
ADC;2024;3;565
ADC;2024;4;567
ADC;2024;5;570
ADC;2024;6;573
ADC;2024;7;578
ADC;2024;8;586
ADC;2024;9;625
ADC;2024;10;621
ADC;2024;11;620
ADC;2024;12;630
ADC;2025;1;626
ADC;2025;2;623
ADC;2025;3;627
ADC;2025;4;616
ADC;2025;5;616
ADC;2025;6;618
ADC;2025;7;641
ADC;2025;8;628
ADC;2025;9;616
ADC;2025;10;613
ADC;2025;11;616
ADC;2025;12;617
CHPB;2022;1;367
CHPB;2022;2;354
CHPB;2022;3;357
CHPB;2022;4;354
CHPB;2022;5;344
CHPB;2022;6;315
CHPB;2022;7;300
CHPB;2022;8;278
CHPB;2022;9;230
CHPB;2022;10;228
CHPB;2022;11;228
CHPB;2022;12;223
CHPB;2023;1;223
CHPB;2023;2;220
CHPB;2023;3;217
CHPB;2023;4;216
CHPB;2023;5;214
CHPB;2023;6;217
CHPB;2023;7;220
CHPB;2023;8;221
CHPB;2023;9;217
CHPB;2023;10;222
CHPB;2023;11;221
CHPB;2023;12;221
CHPB;2024;1;227
CHPB;2024;2;229
CHPB;2024;3;216
CHPB;2024;4;210
CHPB;2024;5;210
CHPB;2024;6;207
CHPB;2024;7;205
CHPB;2024;8;206
CHPB;2024;9;204
CHPB;2024;10;205
CHPB;2024;11;203
CHPB;2024;12;203
CHPB;2025;1;202
CHPB;2025;2;197
CHPB;2025;3;199
CHPB;2025;4;196
CHPB;2025;5;195
CHPB;2025;6;194
CHPB;2025;7;188
CHPB;2025;8;182
CHPB;2025;9;174
CHPB;2025;10;159
CHPB;2025;11;162
CHPB;2025;12;167
CSSFA;2022;1;156
CSSFA;2022;2;155
CSSFA;2022;3;159
CSSFA;2022;4;161
CSSFA;2022;5;162
CSSFA;2022;6;168
CSSFA;2022;7;167
CSSFA;2022;8;165
CSSFA;2022;9;165
CSSFA;2022;10;163
CSSFA;2022;11;164
CSSFA;2022;12;164
CSSFA;2023;1;165
CSSFA;2023;2;161
CSSFA;2023;3;158
CSSFA;2023;4;176
CSSFA;2023;5;171
CSSFA;2023;6;170
CSSFA;2023;7;168
CSSFA;2023;8;174
CSSFA;2023;9;169
CSSFA;2023;10;171
CSSFA;2023;11;174
CSSFA;2023;12;175
CSSFA;2024;1;176
CSSFA;2024;2;173
CSSFA;2024;3;173
CSSFA;2024;4;174
CSSFA;2024;5;175
CSSFA;2024;6;176
CSSFA;2024;7;175
CSSFA;2024;8;174
CSSFA;2024;9;173
CSSFA;2024;10;184
CSSFA;2024;11;186
CSSFA;2024;12;188
CSSFA;2025;1;185
CSSFA;2025;2;187
CSSFA;2025;3;189
CSSFA;2025;4;193
CSSFA;2025;5;185
CSSFA;2025;6;188
CSSFA;2025;7;185
CSSFA;2025;8;190
CSSFA;2025;9;186
CSSFA;2025;10;187
CSSFA;2025;11;184
CSSFA;2025;12;184
CSSFE;2022;1;168
CSSFE;2022;2;164
CSSFE;2022;3;164
CSSFE;2022;4;161
CSSFE;2022;5;162
CSSFE;2022;6;163
CSSFE;2022;7;164
CSSFE;2022;8;164
CSSFE;2022;9;164
CSSFE;2022;10;164
CSSFE;2022;11;163
CSSFE;2022;12;163
CSSFE;2023;1;162
CSSFE;2023;2;161
CSSFE;2023;3;163
CSSFE;2023;4;160
CSSFE;2023;5;159
CSSFE;2023;6;154
CSSFE;2023;7;153
CSSFE;2023;8;156
CSSFE;2023;9;159
CSSFE;2023;10;160
CSSFE;2023;11;160
CSSFE;2023;12;158
CSSFE;2024;1;163
CSSFE;2024;2;161
CSSFE;2024;3;162
CSSFE;2024;4;163
CSSFE;2024;5;162
CSSFE;2024;6;160
CSSFE;2024;7;160
CSSFE;2024;8;159
CSSFE;2024;9;160
CSSFE;2024;10;159
CSSFE;2024;11;159
CSSFE;2024;12;157
CSSFE;2025;1;157
CSSFE;2025;2;157
CSSFE;2025;3;151
CSSFE;2025;4;140
CSSFE;2025;5;117
CSSFE;2025;6;112
CSSFE;2025;7;112
CSSFE;2025;8;112
CSSFE;2025;9;111
CSSFE;2025;10;111
CSSFE;2025;11;112
CSSFE;2025;12;112
CSSI;2022;1;259
CSSI;2022;2;257
CSSI;2022;3;257
CSSI;2022;4;256
CSSI;2022;5;252
CSSI;2022;6;254
CSSI;2022;7;251
CSSI;2022;8;250
CSSI;2022;9;248
CSSI;2022;10;248
CSSI;2022;11;248
CSSI;2022;12;248
CSSI;2023;1;246
CSSI;2023;2;247
CSSI;2023;3;246
CSSI;2023;4;245
CSSI;2023;5;245
CSSI;2023;6;244
CSSI;2023;7;241
CSSI;2023;8;244
CSSI;2023;9;243
CSSI;2023;10;246
CSSI;2023;11;243
CSSI;2023;12;244
CSSI;2024;1;242
CSSI;2024;2;238
CSSI;2024;3;242
CSSI;2024;4;246
CSSI;2024;5;246
CSSI;2024;6;245
CSSI;2024;7;246
CSSI;2024;8;246
CSSI;2024;9;246
CSSI;2024;10;248
CSSI;2024;11;248
CSSI;2024;12;247
CSSI;2025;1;248
CSSI;2025;2;249
CSSI;2025;3;246
CSSI;2025;4;243
CSSI;2025;5;247
CSSI;2025;6;259
CSSI;2025;7;256
CSSI;2025;8;257
CSSI;2025;9;257
CSSI;2025;10;257
CSSI;2025;11;259
CSSI;2025;12;257
HAC;2022;1;714
HAC;2022;2;678
HAC;2022;3;689
HAC;2022;4;678
HAC;2022;5;676
HAC;2022;6;675
HAC;2022;7;681
HAC;2022;8;677
HAC;2022;9;677
HAC;2022;10;678
HAC;2022;11;674
HAC;2022;12;677
HAC;2023;1;682
HAC;2023;2;682
HAC;2023;3;677
HAC;2023;4;671
HAC;2023;5;674
HAC;2023;6;669
HAC;2023;7;669
HAC;2023;8;664
HAC;2023;9;666
HAC;2023;10;670
HAC;2023;11;668
HAC;2023;12;667
HAC;2024;1;661
HAC;2024;2;670
HAC;2024;3;662
HAC;2024;4;658
HAC;2024;5;661
HAC;2024;6;657
HAC;2024;7;659
HAC;2024;8;677
HAC;2024;9;669
HAC;2024;10;668
HAC;2024;11;666
HAC;2024;12;667
HAC;2025;1;668
HAC;2025;2;667
HAC;2025;3;668
HAC;2025;4;654
HAC;2025;5;677
HAC;2025;6;680
HAC;2025;7;693
HAC;2025;8;666
HAC;2025;9;663
HAC;2025;10;670
HAC;2025;11;676
HAC;2025;12;684
HCM;2022;1;187
HCM;2022;2;186
HCM;2022;3;189
HCM;2022;4;189
HCM;2022;5;185
HCM;2022;6;189
HCM;2022;7;189
HCM;2022;8;188
HCM;2022;9;187
HCM;2022;10;187
HCM;2022;11;187
HCM;2022;12;187
HCM;2023;1;188
HCM;2023;2;187
HCM;2023;3;192
HCM;2023;4;184
HCM;2023;5;182
HCM;2023;6;187
HCM;2023;7;187
HCM;2023;8;188
HCM;2023;9;187
HCM;2023;10;187
HCM;2023;11;187
HCM;2023;12;187
HCM;2024;1;188
HCM;2024;2;185
HCM;2024;3;193
HCM;2024;4;203
HCM;2024;5;199
HCM;2024;6;200
HCM;2024;7;202
HCM;2024;8;187
HCM;2024;9;189
HCM;2024;10;201
HCM;2024;11;200
HCM;2024;12;201
HCM;2025;1;202
HCM;2025;2;202
HCM;2025;3;198
HCM;2025;4;194
HCM;2025;5;189
HCM;2025;6;195
HCM;2025;7;205
HCM;2025;8;209
HCM;2025;9;203
HCM;2025;10;201
HCM;2025;11;207
HCM;2025;12;207
HEM;2022;1;778
HEM;2022;2;755
HEM;2022;3;744
HEM;2022;4;733
HEM;2022;5;709
HEM;2022;6;675
HEM;2022;7;671
HEM;2022;8;655
HEM;2022;9;658
HEM;2022;10;658
HEM;2022;11;656
HEM;2022;12;651
HEM;2023;1;652
HEM;2023;2;656
HEM;2023;3;648
HEM;2023;4;640
HEM;2023;5;634
HEM;2023;6;635
HEM;2023;7;653
HEM;2023;8;642
HEM;2023;9;643
HEM;2023;10;650
HEM;2023;11;656
HEM;2023;12;666
HEM;2024;1;663
HEM;2024;2;684
HEM;2024;3;713
HEM;2024;4;713
HEM;2024;5;714
HEM;2024;6;698
HEM;2024;7;690
HEM;2024;8;665
HEM;2024;9;677
HEM;2024;10;681
HEM;2024;11;677
HEM;2024;12;682
HEM;2025;1;685
HEM;2025;2;696
HEM;2025;3;690
HEM;2025;4;680
HEM;2025;5;682
HEM;2025;6;725
HEM;2025;7;737
HEM;2025;8;728
HEM;2025;9;721
HEM;2025;10;684
HEM;2025;11;665
HEM;2025;12;660
HIJPII;2022;1;847
HIJPII;2022;2;862
HIJPII;2022;3;864
HIJPII;2022;4;850
HIJPII;2022;5;836
HIJPII;2022;6;843
HIJPII;2022;7;837
HIJPII;2022;8;816
HIJPII;2022;9;825
HIJPII;2022;10;823
HIJPII;2022;11;827
HIJPII;2022;12;826
HIJPII;2023;1;849
HIJPII;2023;2;820
HIJPII;2023;3;840
HIJPII;2023;4;836
HIJPII;2023;5;843
HIJPII;2023;6;849
HIJPII;2023;7;850
HIJPII;2023;8;827
HIJPII;2023;9;821
HIJPII;2023;10;817
HIJPII;2023;11;814
HIJPII;2023;12;819
HIJPII;2024;1;818
HIJPII;2024;2;809
HIJPII;2024;3;805
HIJPII;2024;4;804
HIJPII;2024;5;802
HIJPII;2024;6;820
HIJPII;2024;7;818
HIJPII;2024;8;801
HIJPII;2024;9;802
HIJPII;2024;10;814
HIJPII;2024;11;819
HIJPII;2024;12;819
HIJPII;2025;1;801
HIJPII;2025;2;824
HIJPII;2025;3;822
HIJPII;2025;4;832
HIJPII;2025;5;884
HIJPII;2025;6;891
HIJPII;2025;7;887
HIJPII;2025;8;868
HIJPII;2025;9;861
HIJPII;2025;10;829
HIJPII;2025;11;825
HIJPII;2025;12;820
HJK;2022;1;1574
HJK;2022;2;1557
HJK;2022;3;1555
HJK;2022;4;1539
HJK;2022;5;1519
HJK;2022;6;1527
HJK;2022;7;1534
HJK;2022;8;1517
HJK;2022;9;1517
HJK;2022;10;1520
HJK;2022;11;1509
HJK;2022;12;1514
HJK;2023;1;1524
HJK;2023;2;1515
HJK;2023;3;1514
HJK;2023;4;1537
HJK;2023;5;1529
HJK;2023;6;1534
HJK;2023;7;1574
HJK;2023;8;1595
HJK;2023;9;1596
HJK;2023;10;1593
HJK;2023;11;1580
HJK;2023;12;1584
HJK;2024;1;1596
HJK;2024;2;1684
HJK;2024;3;1667
HJK;2024;4;1666
HJK;2024;5;1666
HJK;2024;6;1666
HJK;2024;7;1644
HJK;2024;8;1610
HJK;2024;9;1624
HJK;2024;10;1616
HJK;2024;11;1619
HJK;2024;12;1612
HJK;2025;1;1616
HJK;2025;2;1600
HJK;2025;3;1586
HJK;2025;4;1589
HJK;2025;5;1692
HJK;2025;6;1762
HJK;2025;7;1809
HJK;2025;8;1810
HJK;2025;9;1814
HJK;2025;10;1713
HJK;2025;11;1772
HJK;2025;12;1784
HJXXIII;2022;1;2769
HJXXIII;2022;2;2885
HJXXIII;2022;3;2867
HJXXIII;2022;4;2893
HJXXIII;2022;5;2835
HJXXIII;2022;6;2839
HJXXIII;2022;7;2789
HJXXIII;2022;8;2733
HJXXIII;2022;9;2725
HJXXIII;2022;10;2737
HJXXIII;2022;11;2743
HJXXIII;2022;12;2730
HJXXIII;2023;1;2759
HJXXIII;2023;2;2726
HJXXIII;2023;3;2714
HJXXIII;2023;4;2729
HJXXIII;2023;5;2760
HJXXIII;2023;6;2772
HJXXIII;2023;7;2775
HJXXIII;2023;8;2758
HJXXIII;2023;9;2743
HJXXIII;2023;10;2757
HJXXIII;2023;11;2746
HJXXIII;2023;12;2760
HJXXIII;2024;1;2787
HJXXIII;2024;2;2752
HJXXIII;2024;3;2742
HJXXIII;2024;4;2725
HJXXIII;2024;5;2723
HJXXIII;2024;6;2767
HJXXIII;2024;7;2762
HJXXIII;2024;8;2776
HJXXIII;2024;9;2788
HJXXIII;2024;10;2834
HJXXIII;2024;11;2852
HJXXIII;2024;12;2849
HJXXIII;2025;1;2867
HJXXIII;2025;2;2873
HJXXIII;2025;3;2880
HJXXIII;2025;4;2907
HJXXIII;2025;5;2975
HJXXIII;2025;6;3102
HJXXIII;2025;7;3105
HJXXIII;2025;8;2988
HJXXIII;2025;9;2986
HJXXIII;2025;10;2916
HJXXIII;2025;11;2892
HJXXIII;2025;12;2853
HMAL;2022;1;288
HMAL;2022;2;292
HMAL;2022;3;299
HMAL;2022;4;290
HMAL;2022;5;286
HMAL;2022;6;283
HMAL;2022;7;272
HMAL;2022;8;259
HMAL;2022;9;260
HMAL;2022;10;258
HMAL;2022;11;262
HMAL;2022;12;259
HMAL;2023;1;257
HMAL;2023;2;253
HMAL;2023;3;257
HMAL;2023;4;257
HMAL;2023;5;257
HMAL;2023;6;257
HMAL;2023;7;258
HMAL;2023;8;257
HMAL;2023;9;257
HMAL;2023;10;254
HMAL;2023;11;255
HMAL;2023;12;252
HMAL;2024;1;254
HMAL;2024;2;254
HMAL;2024;3;250
HMAL;2024;4;242
HMAL;2024;5;241
HMAL;2024;6;244
HMAL;2024;7;241
HMAL;2024;8;236
HMAL;2024;9;236
HMAL;2024;10;236
HMAL;2024;11;236
HMAL;2024;12;235
HMAL;2025;1;203
HMAL;2025;2;195
HMAL;2025;3;181
HMAL;2025;4;141
HMAL;2025;5;137
HMAL;2025;6;134
HMAL;2025;7;131
HMAL;2025;8;122
HMAL;2025;9;119
HMAL;2025;10;116
HMAL;2025;11;114
HMAL;2025;12;115
HRAD;2022;1;885
HRAD;2022;2;791
HRAD;2022;3;794
HRAD;2022;4;794
HRAD;2022;5;764
HRAD;2022;6;774
HRAD;2022;7;740
HRAD;2022;8;734
HRAD;2022;9;724
HRAD;2022;10;723
HRAD;2022;11;721
HRAD;2022;12;723
HRAD;2023;1;727
HRAD;2023;2;722
HRAD;2023;3;721
HRAD;2023;4;738
HRAD;2023;5;739
HRAD;2023;6;764
HRAD;2023;7;767
HRAD;2023;8;763
HRAD;2023;9;760
HRAD;2023;10;767
HRAD;2023;11;769
HRAD;2023;12;775
HRAD;2024;1;794
HRAD;2024;2;778
HRAD;2024;3;762
HRAD;2024;4;764
HRAD;2024;5;761
HRAD;2024;6;754
HRAD;2024;7;526
HRAD;2024;8;513
HRAD;2024;9;477
HRAD;2024;10;477
HRAD;2024;11;489
HRAD;2024;12;477
HRAD;2025;1;477
HRAD;2025;2;477
HRAD;2025;3;476
HRAD;2025;4;478
HRAD;2025;5;478
HRAD;2025;6;476
HRAD;2025;7;476
HRAD;2025;8;477
HRAD;2025;9;475
HRAD;2025;10;476
HRAD;2025;11;470
HRAD;2025;12;470
HRBJA;2022;1;632
HRBJA;2022;2;624
HRBJA;2022;3;618
HRBJA;2022;4;627
HRBJA;2022;5;629
HRBJA;2022;6;689
HRBJA;2022;7;693
HRBJA;2022;8;704
HRBJA;2022;9;758
HRBJA;2022;10;758
HRBJA;2022;11;759
HRBJA;2022;12;762
HRBJA;2023;1;773
HRBJA;2023;2;770
HRBJA;2023;3;789
HRBJA;2023;4;786
HRBJA;2023;5;780
HRBJA;2023;6;808
HRBJA;2023;7;796
HRBJA;2023;8;783
HRBJA;2023;9;797
HRBJA;2023;10;784
HRBJA;2023;11;777
HRBJA;2023;12;778
HRBJA;2024;1;793
HRBJA;2024;2;790
HRBJA;2024;3;766
HRBJA;2024;4;766
HRBJA;2024;5;779
HRBJA;2024;6;774
HRBJA;2024;7;774
HRBJA;2024;8;772
HRBJA;2024;9;793
HRBJA;2024;10;788
HRBJA;2024;11;794
HRBJA;2024;12;792
HRBJA;2025;1;798
HRBJA;2025;2;814
HRBJA;2025;3;821
HRBJA;2025;4;829
HRBJA;2025;5;829
HRBJA;2025;6;862
HRBJA;2025;7;853
HRBJA;2025;8;844
HRBJA;2025;9;843
HRBJA;2025;10;844
HRBJA;2025;11;843
HRBJA;2025;12;848
HRJP;2022;1;975
HRJP;2022;2;969
HRJP;2022;3;969
HRJP;2022;4;963
HRJP;2022;5;945
HRJP;2022;6;943
HRJP;2022;7;980
HRJP;2022;8;976
HRJP;2022;9;987
HRJP;2022;10;983
HRJP;2022;11;985
HRJP;2022;12;984
HRJP;2023;1;997
HRJP;2023;2;984
HRJP;2023;3;991
HRJP;2023;4;996
HRJP;2023;5;992
HRJP;2023;6;1000
HRJP;2023;7;1003
HRJP;2023;8;1002
HRJP;2023;9;996
HRJP;2023;10;1002
HRJP;2023;11;1004
HRJP;2023;12;999
HRJP;2024;1;1007
HRJP;2024;2;1004
HRJP;2024;3;1009
HRJP;2024;4;1005
HRJP;2024;5;997
HRJP;2024;6;1001
HRJP;2024;7;1017
HRJP;2024;8;1007
HRJP;2024;9;1002
HRJP;2024;10;1002
HRJP;2024;11;1000
HRJP;2024;12;993
HRJP;2025;1;997
HRJP;2025;2;998
HRJP;2025;3;990
HRJP;2025;4;976
HRJP;2025;5;987
HRJP;2025;6;997
HRJP;2025;7;990
HRJP;2025;8;976
HRJP;2025;9;966
HRJP;2025;10;955
HRJP;2025;11;957
HRJP;2025;12;951
IRS;2022;1;370
IRS;2022;2;367
IRS;2022;3;366
IRS;2022;4;362
IRS;2022;5;364
IRS;2022;6;363
IRS;2022;7;360
IRS;2022;8;355
IRS;2022;9;352
IRS;2022;10;349
IRS;2022;11;350
IRS;2022;12;348
IRS;2023;1;351
IRS;2023;2;349
IRS;2023;3;348
IRS;2023;4;348
IRS;2023;5;349
IRS;2023;6;348
IRS;2023;7;345
IRS;2023;8;342
IRS;2023;9;343
IRS;2023;10;343
IRS;2023;11;342
IRS;2023;12;340
IRS;2024;1;341
IRS;2024;2;351
IRS;2024;3;348
IRS;2024;4;351
IRS;2024;5;345
IRS;2024;6;347
IRS;2024;7;352
IRS;2024;8;352
IRS;2024;9;353
IRS;2024;10;351
IRS;2024;11;346
IRS;2024;12;347
IRS;2025;1;349
IRS;2025;2;343
IRS;2025;3;341
IRS;2025;4;336
IRS;2025;5;340
IRS;2025;6;343
IRS;2025;7;342
IRS;2025;8;335
IRS;2025;9;339
IRS;2025;10;335
IRS;2025;11;330
IRS;2025;12;332
MOV;2022;1;945
MOV;2022;2;940
MOV;2022;3;944
MOV;2022;4;947
MOV;2022;5;947
MOV;2022;6;947
MOV;2022;7;961
MOV;2022;8;951
MOV;2022;9;949
MOV;2022;10;946
MOV;2022;11;945
MOV;2022;12;938
MOV;2023;1;940
MOV;2023;2;934
MOV;2023;3;939
MOV;2023;4;934
MOV;2023;5;924
MOV;2023;6;924
MOV;2023;7;925
MOV;2023;8;916
MOV;2023;9;924
MOV;2023;10;921
MOV;2023;11;917
MOV;2023;12;912
MOV;2024;1;918
MOV;2024;2;923
MOV;2024;3;909
MOV;2024;4;928
MOV;2024;5;926
MOV;2024;6;924
MOV;2024;7;920
MOV;2024;8;939
MOV;2024;9;945
MOV;2024;10;941
MOV;2024;11;933
MOV;2024;12;933
MOV;2025;1;924
MOV;2025;2;924
MOV;2025;3;911
MOV;2025;4;933
MOV;2025;5;990
MOV;2025;6;1008
MOV;2025;7;1018
MOV;2025;8;998
MOV;2025;9;986
MOV;2025;10;934
MOV;2025;11;937
MOV;2025;12;936
